Line 5270:   BARCODE_ERROR 28.251299999999997
Line 5964:   BARCODE_ERROR 32.79375
Line 8077:   BARCODE_ERROR 15.972000000000001
Line 8250:   BARCODE_ERROR 7.56525
Line 8277:   BARCODE_ERROR 33.635250000000006
Line 8600:   BARCODE_ERROR 33.635250000000006
Line 8825:   BARCODE_ERROR 33.635250000000006
Line 8826:   BARCODE_ERROR 32.79375
Line 8857:   BARCODE_ERROR 32.79375
Line 8881:   BARCODE_ERROR 32.79375
Line 8882:   BARCODE_ERROR 32.79375
Line 8884:   BARCODE_ERROR 32.79375
Line 8886:   BARCODE_ERROR 32.79375
Line 9881:   BARCODE_ERROR 35.318250000000006
Line 9890:   BARCODE_ERROR 20.625
Line 9894:   BARCODE_ERROR 15.708
Line 9903:   BARCODE_ERROR 13.455749999999998
Line 9905:   BARCODE_ERROR 16.5165
Line 9912:   BARCODE_ERROR 12.375000000000002
Line 9926:   BARCODE_ERROR PRICE_ERROR 
Line 9927:   BARCODE_ERROR PRICE_ERROR 
Line 1:   BARCODE_ERROR PRICE_ERROR 
